ALABAMA,1987
ALASKA,249
AMERICAN SAMOA,23
ARIZONA,694
ARKANSAS,1487
ATLANTIC NORTH,779
ATLANTIC SOUTH,719
CALIFORNIA,2838
COLORADO,1921
CONNECTICUT,227
DELAWARE,99
DISTRICT OF COLUMBIA,16
E PACIFIC,1
FLORIDA,1553
GEORGIA,2607
GUAM,22
GULF OF ALASKA,4
GULF OF MEXICO,1026
HAWAII,215
IDAHO,513
ILLINOIS,2511
INDIANA,1112
IOWA,1758
KANSAS,2642
KENTUCKY,1581
LAKE ERIE,111
LAKE HURON,12
LAKE MICHIGAN,89
LAKE ONTARIO,18
LAKE ST CLAIR,29
LAKE SUPERIOR,61
LOUISIANA,1977
MAINE,535
MARYLAND,604
MASSACHUSETTS,449
MICHIGAN,752
MINNESOTA,1578
MISSISSIPPI,1515
MISSOURI,2166
MONTANA,1040
NEBRASKA,2210
NEVADA,606
NEW HAMPSHIRE,260
NEW JERSEY,546
NEW MEXICO,1088
NEW YORK,1631
NORTH CAROLINA,1324
NORTH DAKOTA,695
OHIO,967
OKLAHOMA,3723
OREGON,290
PENNSYLVANIA,1500
PUERTO RICO,247
RHODE ISLAND,76
SOUTH CAROLINA,846
SOUTH DAKOTA,1890
TENNESSEE,1683
TEXAS,7567
UTAH,553
VERMONT,289
VIRGIN ISLANDS,13
VIRGINIA,1415
WASHINGTON,221
WEST VIRGINIA,788
WISCONSIN,1238
WYOMING,902
