State,ln(ËðÊ§ÂÊ),ËðÊ§ÂÊ,1-ËðÊ§ÂÊ
ALABAMA,-11.04724909,1.59309E-05,0.999984069
ALASKA,-11.75628719,7.83988E-06,0.99999216
ARIZONA,-11.89702219,6.81066E-06,0.999993189
ARKANSAS,-10.73827603,2.16983E-05,0.999978302
CALIFORNIA,-8.339052939,0.000238999,0.999761001
COLORADO,-11.68779096,8.3957E-06,0.999991604
CONNECTICUT,-15.89627556,1.24835E-07,0.999999875
DELAWARE,-15.26552807,2.34566E-07,0.999999765
DISTRICT OF COLUMBIA,-15.58762995,1.69972E-07,0.99999983
FLORIDA,-6.723518248,0.001202301,0.998797699
GEORGIA,-12.8312899,2.67573E-06,0.999997324
HAWAII,-16.40136184,7.53319E-08,0.999999925
IDAHO,-11.67098746,8.53797E-06,0.999991462
ILLINOIS,-12.49935404,3.72906E-06,0.999996271
INDIANA,-13.00632272,2.24608E-06,0.999997754
IOWA,-11.4272074,1.0895E-05,0.999989105
KANSAS,-11.1200942,1.48117E-05,0.999985188
LOUISIANA,-5.981352102,0.002525409,0.997474591
MAINE,-13.61725137,1.21928E-06,0.999998781
MARYLAND,-14.45320964,5.28507E-07,0.999999471
MASSACHUSETTS,-16.00932014,1.11491E-07,0.999999889
MICHIGAN,-12.82137158,2.7024E-06,0.999997298
MINNESOTA,-11.85623095,7.09421E-06,0.999992906
MISSISSIPPI,-9.42799226,8.04405E-05,0.999919559
MISSOURI,-11.83781832,7.22605E-06,0.999992774
MONTANA,-12.8692668,2.57602E-06,0.999997424
NEBRASKA,-10.5790528,2.54434E-05,0.999974557
NEVADA,-10.38752055,3.08146E-05,0.999969185
NEW HAMPSHIRE,-14.2177926,6.68792E-07,0.999999331
NEW JERSEY,-14.04529109,7.94708E-07,0.999999205
NEW MEXICO,-12.19915562,5.03471E-06,0.999994965
NEW YORK,-14.36043398,5.79886E-07,0.99999942
NORTH CAROLINA,-13.34575106,1.59961E-06,0.9999984
NORTH DAKOTA,-11.91909315,6.66198E-06,0.999993338
OHIO,-13.35715254,1.58148E-06,0.999998419
OKLAHOMA,-10.04445381,4.34259E-05,0.999956574
OREGON,-14.58710103,4.62277E-07,0.999999538
PENNSYLVANIA,-13.98647442,8.42852E-07,0.999999157
RHODE ISLAND,-14.02903621,8.07731E-07,0.999999192
SOUTH CAROLINA,-13.54471343,1.31101E-06,0.999998689
SOUTH DAKOTA,-11.08109532,1.54007E-05,0.999984599
TENNESSEE,-12.17729797,5.14596E-06,0.999994854
TEXAS,-6.984767609,0.000925878,0.999074122
UTAH,1780.175155,#NUM!,#NUM!
VERMONT,-13.1156308,2.01351E-06,0.999997986
VIRGINIA,-14.0652207,7.79027E-07,0.999999221
WASHINGTON,-13.74242732,1.07582E-06,0.999998924
WEST VIRGINIA,-11.95016135,6.45819E-06,0.999993542
WISCONSIN,-11.96717469,6.34924E-06,0.999993651
WYOMING,-12.68548553,3.09573E-06,0.999996904
